epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.963,1.00589,1.56206,1.0026,0.815,0.58527,0.68209,0.52669,0.70831,0.9026,0.92843,0.0667722,3.3261e-05,3.3261e-05
2,1295.88,0.79396,0.74163,0.90738,0.86873,0.63509,0.74611,0.60607,0.60104,0.78061,0.90116,0.0334656,5.99356e-05,5.99356e-05
3,1762.75,0.70082,0.58161,0.87061,0.89612,0.69639,0.78618,0.64807,0.5648,0.62005,0.87977,0.000152251,7.99442e-05,7.99442e-05
4,2371.14,0.63753,0.50061,0.85278,0.91077,0.70728,0.80522,0.66904,0.5334,0.57183,0.86916,7.0003e-05,7.0003e-05,7.0003e-05
5,2808.82,0.60016,0.45357,0.83903,0.91863,0.71594,0.81291,0.67752,0.52486,0.53511,0.86348,6.0004e-05,6.0004e-05,6.0004e-05
6,3414.75,0.56677,0.41931,0.83098,0.89682,0.73715,0.81243,0.68069,0.51406,0.54055,0.86572,5.0005e-05,5.0005e-05,5.0005e-05
7,3752.83,0.54554,0.39763,0.82463,0.90476,0.73857,0.8201,0.69017,0.507,0.50401,0.85558,4.0006e-05,4.0006e-05,4.0006e-05
8,4037.25,0.51857,0.37681,0.82028,0.90261,0.75277,0.82533,0.6949,0.49354,0.49012,0.85,3.0007e-05,3.0007e-05,3.0007e-05
9,4324.78,0.50189,0.35947,0.81343,0.92329,0.73918,0.82088,0.69775,0.49582,0.49098,0.85066,2.0008e-05,2.0008e-05,2.0008e-05
10,4634.74,0.48698,0.34537,0.81179,0.91573,0.73681,0.82341,0.70233,0.48954,0.47827,0.85678,1.0009e-05,1.0009e-05,1.0009e-05
